sample.no	sample.id	block	square	lane	individual	biological.replica	plant.species	site	plant.compartment	season	treatment.id	treatment	sample.by	od	notes	sample_name	AIM.sample.id	plate	done
20210219NGSeco_C_001	22	B.13.I	B	13	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B13	BC	Victor	0.914		B13_I_nov19	20210219NGSeco_C_001	E116	no
20210219NGSeco_C_002	94	B.14.III	B	14	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	B14	MOCK	Victor	0.463		B14_III_feb20	20210219NGSeco_C_002	E116	yes
20210219NGSeco_C_003	85	B.11.III	B	11	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	B11	AAP	Victor	0.381		B11_III_feb20	20210219NGSeco_C_003	E116	yes
20210219NGSeco_C_004	57	A.12.II	A	12	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A12	CC	Victor	0.348		A12_II_feb20	20210219NGSeco_C_004	E116	yes
20210219NGSeco_C_005	89	B.13.I	B	13	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B13	BC	David	0.46		B13_I_feb20	20210219NGSeco_C_005	E116	no
20210219NGSeco_C_006	167	A.3.I	A	3	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A3	BC	Victor	0.718		A3_I_nov20	20210219NGSeco_C_006	E116	yes
20210219NGSeco_C_007	207	B.5.II	B	5	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B5	PFC	Victor	1.127		B5_II_nov20	20210219NGSeco_C_007	E116	yes
20210219NGSeco_C_008	105	A.5.II	A	5	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	A5	AAP	Victor	0.379		A5_II_jul20	20210219NGSeco_C_008	E116	yes
20210219NGSeco_C_009	47	A.9.I	A	9	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A9	PFC	Victor	0.447		A9_I_feb20	20210219NGSeco_C_009	E116	yes
20210219NGSeco_C_010	235	B.14.III	B	14	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B14	MOCK	Victor	1.122		B14_III_nov20	20210219NGSeco_C_010	E116	yes
20210219NGSeco_C_011	230	B.13.I	B	13	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B13	BC	Victor	1.177		B13_I_nov20	20210219NGSeco_C_011	E116	yes
20210219NGSeco_C_012	13	B.2.I	B	2	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B2	PFCT	Victor	0.611		B2_I_nov19	20210219NGSeco_C_012	E116	yes
20210219NGSeco_C_013	166	A.2.III	A	2	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A2	PFCS	Victor	0.696		A2_III_nov20	20210219NGSeco_C_013	E116	yes
20210219NGSeco_C_014	53	A.11.I	A	11	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A11	RC2	Victor	0.632		A11_I_feb20	20210219NGSeco_C_014	E116	yes
20210219NGSeco_C_015	61	B.1.III	B	1	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	B1	RC3	Victor	0.494		B1_III_feb20	20210219NGSeco_C_015	E116	yes
20210219NGSeco_C_016	222	B.10.II	B	10	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B10	CC	Victor	0.879		B10_II_nov20	20210219NGSeco_C_016	E116	yes
20210219NGSeco_C_017	220	B.9.III	B	9	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B9	PFCF	Victor	1.042		B9_III_nov20	20210219NGSeco_C_017	E116	yes
20210219NGSeco_C_018	43	A.7.III	A	7	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A7	MOCK	Victor	0.411		A7_III_feb20	20210219NGSeco_C_018	E116	yes
20210219NGSeco_C_019	240	C.s.20	C	NA	NA	NA	1	NA	Penjamo	soil	nov20	NA	NA	Victor	NA		Cs_nov20	20210219NGSeco_C_019	E116	yes
20210219NGSeco_C_020	229	B.12.III	B	12	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B12	RC2	Victor	0.883		B12_III_nov20	20210219NGSeco_C_020	E116	yes
20210219NGSeco_C_021	154	B.11.III	B	11	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B11	AAP	Victor	0.623		B11_III_jul20	20210219NGSeco_C_021	E116	yes
20210219NGSeco_C_022	69	B.5.II	B	5	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B5	PFC	David	0.35		B5_II_feb20	20210219NGSeco_C_022	E116	yes
20210219NGSeco_C_023	132	B.2.II	B	2	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	B2	PFCT	Victor	0.416		B2_II_jul20	20210219NGSeco_C_023	E116	yes
20210219NGSeco_C_024	71	B.6.I	B	6	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B6	PFCS	David	0.471		B6_I_feb20	20210219NGSeco_C_024	E116	yes
20210219NGSeco_C_025	183	A.8.II	A	8	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	A8	RC3	Victor	0.918		A8_II_nov20	20210219NGSeco_C_025	E116	yes
20210219NGSeco_C_026	176	A.6.I	A	6	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A6	PFCF	Victor	0.714		A6_I_nov20	20210219NGSeco_C_026	E116	no
20210219NGSeco_C_027	134	B.4.I	B	4	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B4	RC1	Victor	0.435		B4_I_jul20	20210219NGSeco_C_027	E116	yes
20210219NGSeco_C_028	239	B.s.20	B	NA	NA	NA	1	NA	Penjamo	soil	nov20	NA	NA	Victor	NA		Bs_nov20	20210219NGSeco_C_028	E116	yes
20210219NGSeco_C_029	127	A.12.III	A	12	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A12	CC	Victor	0.334		A12_III_jul20	20210219NGSeco_C_029	E116	yes
20210219NGSeco_C_030	237	B.s.19	B	NA	NA	NA	1	NA	Penjamo	soil	nov19	NA	NA	Victor	NA		Bs_nov19	20210219NGSeco_C_030	E116	yes
20210219NGSeco_C_031	121	A.10.III	A	10	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A10	PFCT	Victor	0.498		A10_III_jul20	20210219NGSeco_C_031	E116	yes
20210219NGSeco_C_032	112	A.7.III	A	7	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A7	MOCK	Victor	0.507		A7_III_jul20	20210219NGSeco_C_032	E116	yes
20210219NGSeco_C_033	203	B.4.I	B	4	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B4	RC1	Victor	1.149		B4_I_nov20	20210219NGSeco_C_033	E116	yes
20210219NGSeco_C_034	136	B.4.III	B	4	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B4	RC1	Victor	0.363		B4_III_jul20	20210219NGSeco_C_034	E116	yes
20210219NGSeco_C_035	63	B.2.II	B	2	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B2	PFCT	Victor	0.583		B2_II_feb20	20210219NGSeco_C_035	E116	yes
20210219NGSeco_C_036	126	A.12.II	A	12	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	A12	CC	Victor	0.346		A12_II_jul20	20210219NGSeco_C_036	E116	yes
20210219NGSeco_C_037	78	B.9.II	B	9	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B9	PFCF	Victor	0.319		B9_II_feb20	20210219NGSeco_C_037	E116	yes
20210219NGSeco_C_038	215	B8.I	B	8	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B8	VOC	Victor	0.733		B8_I_nov20	20210219NGSeco_C_038	E116	yes
20210219NGSeco_C_039	11	A.12.I	A	12	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A12	CC	Victor	0.701		A12_I_nov19	20210219NGSeco_C_039	E116	yes
20210219NGSeco_C_040	213	B.7.II	B	7	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B7	MOCK	Victor	0.75		B7_II_nov20	20210219NGSeco_C_040	E116	yes
20210219NGSeco_C_041	216	B.8.II	B	8	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B8	VOC	Victor	0.612		B8_II_nov20	20210219NGSeco_C_041	E116	yes
20210219NGSeco_C_042	208	B.5.III	B	5	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B5	PFC	Victor	0.984		B5_III_nov20	20210219NGSeco_C_042	E116	yes
20210219NGSeco_C_043	153	B.11.II	B	11	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	B11	AAP	Victor	0.592		B11_II_jul20	20210219NGSeco_C_043	E116	yes
20210219NGSeco_C_044	157	B.12.III	B	12	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B12	RC2	David	0.339		B12_III_jul20	20210219NGSeco_C_044	E116	yes
20210219NGSeco_C_045	92	B.14.I	B	14	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B14	MOCK	Victor	0.499		B14_I_feb20	20210219NGSeco_C_045	E116	yes
20210219NGSeco_C_046	14	B.4.I	B	4	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B4	RC1	Victor	0.725		B4_I_nov19	20210219NGSeco_C_046	E116	yes
20210219NGSeco_C_047	80	B.10.I	B	10	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B10	CC	Victor	0.539		B10_I_feb20	20210219NGSeco_C_047	E116	yes
20210219NGSeco_C_048	194	A.12.I	A	12	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A12	CC	Victor	0.616		A12_I_nov20	20210219NGSeco_C_048	E116	yes
20210219NGSeco_C_049	115	A.8.III	A	8	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	A8	RC3	Victor	0.518		A8_III_jul20	20210219NGSeco_C_049	E116	yes
20210219NGSeco_C_050	233	B.14.I	B	14	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B14	MOCK	Victor	0.59		B14_I_nov20	20210219NGSeco_C_050	E116	yes
20210219NGSeco_C_051	142	B.6.III	B	6	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B6	PFCS	Victor	0.575		B6_III_jul20	20210219NGSeco_C_051	E116	yes
20210219NGSeco_C_052	30	A.3.II	A	3	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A3	BC	David	0.624		A3_II_feb20	20210219NGSeco_C_052	E116	yes
20210219NGSeco_C_053	37	A.5.III	A	5	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A5	AAP	Victor	0.488		A5_III_feb20	20210219NGSeco_C_053	E116	yes
20210219NGSeco_C_054	41	A.7.I	A	7	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A7	MOCK	David	0.592	Revisa concentración otra vez	A7_I_feb20	20210219NGSeco_C_054	E116	yes
20210219NGSeco_C_055	15	B.5.I	B	5	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B5	PFC	Victor	0.425		B5_I_nov19	20210219NGSeco_C_055	E116	yes
20210219NGSeco_C_056	210	B.6.II	B	6	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B6	PFCS	Victor	0.89		B6_II_nov20	20210219NGSeco_C_056	E116	yes
20210219NGSeco_C_057	48	A.9.II	A	9	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A9	PFC	Victor	0.43		A9_II_feb20	20210219NGSeco_C_057	E116	yes
20210219NGSeco_C_058	18	B.9.I	B	9	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B9	PFCF	Victor	0.705		B9_I_nov19	20210219NGSeco_C_058	E116	yes
20210219NGSeco_C_059	152	B.11.I	B	11	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B11	AAP	Victor	0.482		B11_I_jul20	20210219NGSeco_C_059	E116	yes
20210219NGSeco_C_060	68	B.5.I	B	5	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B5	PFC	Victor	0.497		B5_I_feb20	20210219NGSeco_C_060	E116	yes
20210219NGSeco_C_061	66	B.4.II	B	4	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B4	RC1	Victor	0.308		B4_II_feb20	20210219NGSeco_C_061	E116	yes
20210219NGSeco_C_062	56	A.12.I	A	12	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A12	CC	David	0.339		A12_I_feb20	20210219NGSeco_C_062	E116	yes
20210219NGSeco_C_063	110	A.7.I	A	7	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	A7	MOCK	Victor	0.652		A7_I_jul20	20210219NGSeco_C_063	E116	yes
20210219NGSeco_C_064	160	B.13.III	B	13	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B13	BC	David	0.343		B13_III_jul20	20210219NGSeco_C_064	E116	yes
20210219NGSeco_C_065	42	A.7.II	A	7	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A7	MOCK	Victor	0.622		A7_II_feb20	20210219NGSeco_C_065	E116	yes
20210219NGSeco_C_066	4	A.5.I	A	5	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A5	AAP	Victor	0.743		A5_I_nov19	20210219NGSeco_C_066	E116	yes
20210219NGSeco_C_067	9	A.10.I	A	10	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A10	PFCT	Victor	0.38		A10_I_nov19	20210219NGSeco_C_067	E116	yes
20210219NGSeco_C_068	84	B.11.II	B	11	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B11	AAP	Victor	0.445		B11_II_feb20	20210219NGSeco_C_068	E116	yes
