20210219NGSeco_C_002	20210219NGSeco_C_003	20210219NGSeco_C_004	20210219NGSeco_C_006	20210219NGSeco_C_007	20210219NGSeco_C_008	20210219NGSeco_C_009	20210219NGSeco_C_010	20210219NGSeco_C_011	20210219NGSeco_C_012	20210219NGSeco_C_013	20210219NGSeco_C_014	20210219NGSeco_C_015	20210219NGSeco_C_016	20210219NGSeco_C_017	20210219NGSeco_C_018	20210219NGSeco_C_019	20210219NGSeco_C_020	20210219NGSeco_C_021	20210219NGSeco_C_022	20210219NGSeco_C_023	20210219NGSeco_C_024	20210219NGSeco_C_025	20210219NGSeco_C_027	20210219NGSeco_C_028	20210219NGSeco_C_029	20210219NGSeco_C_030	20210219NGSeco_C_031	20210219NGSeco_C_032	20210219NGSeco_C_033	20210219NGSeco_C_034	20210219NGSeco_C_035	20210219NGSeco_C_036	20210219NGSeco_C_037	20210219NGSeco_C_038	20210219NGSeco_C_039	20210219NGSeco_C_040	20210219NGSeco_C_041	20210219NGSeco_C_042	20210219NGSeco_C_043	20210219NGSeco_C_044	20210219NGSeco_C_045	20210219NGSeco_C_046	20210219NGSeco_C_047	20210219NGSeco_C_048	20210219NGSeco_C_049	20210219NGSeco_C_050	20210219NGSeco_C_051	20210219NGSeco_C_052	20210219NGSeco_C_053	20210219NGSeco_C_054	20210219NGSeco_C_055	20210219NGSeco_C_056	20210219NGSeco_C_057	20210219NGSeco_C_058	20210219NGSeco_C_059	20210219NGSeco_C_060	20210219NGSeco_C_061	20210219NGSeco_C_062	20210219NGSeco_C_063	20210219NGSeco_C_064	20210219NGSeco_C_065	20210219NGSeco_C_066	20210219NGSeco_C_067	20210219NGSeco_C_068	20210219NGSeco_C_069	20210219NGSeco_C_070	20210219NGSeco_C_071	20210219NGSeco_C_072	20210219NGSeco_C_073	20210219NGSeco_C_074	20210219NGSeco_C_075	20210219NGSeco_C_076	20210219NGSeco_C_077	20210219NGSeco_C_078	20210219NGSeco_C_079	20210219NGSeco_C_080	20210219NGSeco_C_081	20210219NGSeco_C_082	20210219NGSeco_C_083	20210219NGSeco_C_085	20210219NGSeco_C_087	20210219NGSeco_C_089	20210219NGSeco_C_091	20210219NGSeco_C_092	20210219NGSeco_C_093	20210219NGSeco_C_094	20210219NGSeco_C_096	20210219NGSeco_C_098	20210219NGSeco_C_099	20210219NGSeco_C_100	20210219NGSeco_C_101	20210219NGSeco_C_103	20210219NGSeco_C_104	20210219NGSeco_C_105	20210219NGSeco_C_106	20210219NGSeco_C_107	20210219NGSeco_C_108	20210219NGSeco_C_109	20210219NGSeco_C_110	20210219NGSeco_C_111	20210219NGSeco_C_112	20210219NGSeco_C_113	20210219NGSeco_C_114	20210219NGSeco_C_115	20210219NGSeco_C_116	20210219NGSeco_C_119	20210219NGSeco_C_120	20210219NGSeco_C_122	20210219NGSeco_C_123	20210219NGSeco_C_124	20210219NGSeco_C_125	20210219NGSeco_C_127	20210219NGSeco_C_128	20210219NGSeco_C_134	20210219NGSeco_C_135	20210219NGSeco_C_136	20210219NGSeco_C_137	20210219NGSeco_C_138	20210219NGSeco_C_139	20210219NGSeco_C_140	20210219NGSeco_C_142	20210219NGSeco_C_143	20210219NGSeco_C_144	20210219NGSeco_C_145	20210219NGSeco_C_146	20210219NGSeco_C_147	20210219NGSeco_C_148	20210219NGSeco_C_149	20210219NGSeco_C_150	20210219NGSeco_C_151	20210219NGSeco_C_152	20210219NGSeco_C_153	20210219NGSeco_C_154	20210219NGSeco_C_155	20210219NGSeco_C_156	20210219NGSeco_C_157	20210219NGSeco_C_158	20210219NGSeco_C_159	20210219NGSeco_C_160	20210219NGSeco_C_162	20210219NGSeco_C_163	20210219NGSeco_C_164	20210219NGSeco_C_166	20210219NGSeco_C_167	20210219NGSeco_C_168	20210219NGSeco_C_171	20210219NGSeco_C_172	20210219NGSeco_C_174	20210219NGSeco_C_175	20210219NGSeco_C_176	20210219NGSeco_C_179	20210219NGSeco_C_180	20210219NGSeco_C_182	20210219NGSeco_C_183	20210219NGSeco_C_184	20210219NGSeco_C_185	20210219NGSeco_C_186	20210219NGSeco_C_187	20210219NGSeco_C_188	20210219NGSeco_C_189	20210219NGSeco_C_190	20210219NGSeco_C_191	20210219NGSeco_C_192	20210219NGSeco_C_194	20210219NGSeco_C_195	20210219NGSeco_C_198	20210219NGSeco_C_199	20210219NGSeco_C_200	20210219NGSeco_C_201	20210219NGSeco_C_203	20210219NGSeco_C_204	20210219NGSeco_C_205	20210219NGSeco_C_206	20210219NGSeco_C_207	20210219NGSeco_C_208	20210219NGSeco_C_210	20210219NGSeco_C_212	20210219NGSeco_C_214	20210219NGSeco_C_217	20210219NGSeco_C_219	20210219NGSeco_C_220	20210219NGSeco_C_222	20210219NGSeco_C_223	20210219NGSeco_C_224	20210219NGSeco_C_226	20210219NGSeco_C_227	20210219NGSeco_C_228	20210219NGSeco_C_230	20210219NGSeco_C_231	20210219NGSeco_C_232	20210219NGSeco_C_233	20210219NGSeco_C_234	20210219NGSeco_C_235	20210219NGSeco_C_236	20210219NGSeco_C_237	20210219NGSeco_C_238	20210219NGSeco_C_239	20210219NGSeco_C_240
OTU_5	455	530	211	261	423	2308	1555	2712	2241	440	1258	315	367	330	685	1517	2	631	10132	263	787	145	1751	1257	0	584	1	884	1319	847	7140	499	806	661	3026	218	2472	3360	2202	1826	677	848	707	380	609	1258	8859	3225	537	573	208	278	1256	567	1222	2812	230	756	259	2642	1174	797	1034	141	1010	1188	448	3411	358	2957	565	90	5494	494	120	322	2056	3584	1522	908	680	527	519	612	4135	1517	3418	838	3254	3752	989	324	2616	2336	738	4305	470	1527	359	656	665	239	1669	1021	1678	7	273	861	637	327	1650	423	874	1347	6103	2143	14198	4236	225	1113	144	710	359	5106	1627	508	489	717	3649	339	184	1720	1550	564	344	3349	794	751	873	1240	843	497	356	308	1828	2096	2988	2016	1232	2695	1821	1577	472	699	1241	243	1714	816	552	1625	428	2389	1192	658	290	4669	1048	6320	2432	634	13064	1243	2996	9769	709	8538	10758	6	6584	861	616	540	252	2602	554	436	1927	80	3033	1475	77	714	6531	327	589	3347	890	222	134
OTU_6	90	60	27	45	146	83	90	172	85	32	87	12	40	242	105	91	736	111	120	11	36	25	298	29	1183	63	241	64	188	274	26	52	115	88	88	27	61	183	150	41	63	41	281	44	14	256	313	211	35	37	10	67	175	652	73	128	141	79	29	592	6	58	58	30	114	237	18	90	33	25	60	86	62	302	304	194	223	28	158	76	49	349	5	662	84	466	512	58	18	909	65	24	786	268	73	18	29	58	167	94	260	45	23	63	133	458	27	171	51	29	104	103	158	46	97	152	39	98	84	72	251	253	83	360	26	841	236	1787	124	72	46	40	63	229	55	952	454	335	3658	77	297	48	146	35	149	97	104	468	6	8	87	156	32	21	30	27	273	90	17	106	40	273	80	63	79	112	107	66	959	235	76	197	278	217	362	67	701	4991	193	63	97	102	24	779	32	37	320	24	102	453	76	491	259	105	68	4762	26	147	308
OTU_7	745	414	86	37	745	328	197	1992	2632	945	454	35	496	635	1120	60	72	1992	1533	260	3601	406	180	1761	68	462	17	322	450	1141	12287	543	356	692	3427	7	978	6746	2320	2418	2247	308	328	332	199	154	2738	2511	96	124	17	165	1317	72	557	820	330	288	92	406	1478	83	114	16	612	541	129	492	369	1866	132	79	940	906	215	1252	374	930	3145	148	377	157	16	952	1309	1124	819	310	1428	2016	1029	69	1520	1276	2447	1518	532	178	636	2553	2620	7	2573	385	236	2	644	1804	444	110	69	249	62	3111	770	2075	2754	1238	259	313	37	70	378	1087	89	1071	804	275	810	565	14	1412	1115	597	364	2776	234	61	1860	744	965	226	191	229	1481	359	670	393	5297	4120	1339	1114	957	156	121	566	125	422	192	1531	95	3604	517	558	98	90	87	325	623	118	451	301	769	592	200	1401	1316	5	4245	275	67	861	104	870	78	106	902	43	157	531	56	2475	548	1472	221	1745	56	294	173
OTU_8	0	2	3	2	0	0	0	0	0	0	1	0	2	1	0	1	342	1	0	0	1	1	0	1	482	0	41	0	2	2	2	2	0	3	0	1	0	0	0	0	0	0	2	0	0	57	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	1	1	1	0	1	1	0	1	3	136	0	0	0	0	0	3	0	0	0	2	0	0	17	0	1	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	1	1	1	0	0	0	3	2	2	2	26	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	4	2	3	1	2	4	0	239	1	0	0	0	1	0	1	0	0	0	1	0	0	1	2	1	1	0	1	11	1
OTU_9	532	264	256	166	362	181	357	839	834	763	1017	174	274	353	612	409	6	556	191	310	432	210	840	459	0	558	0	303	323	733	2360	328	253	594	773	644	386	688	1969	381	397	181	735	479	424	451	1619	502	458	187	366	873	500	301	1276	131	408	253	152	970	311	412	916	581	232	1226	310	176	311	298	657	769	505	750	606	452	146	563	517	784	511	484	458	680	373	439	218	508	183	322	509	462	542	680	900	260	368	507	432	653	838	825	461	810	773	5	473	981	662	511	904	836	558	765	229	468	405	257	419	426	653	493	1239	245	172	453	657	681	410	328	465	399	327	371	586	737	1186	524	279	687	868	517	371	557	351	342	772	717	820	633	410	1095	443	543	793	212	679	1026	1156	856	779	1688	1144	694	1695	254	849	313	664	613	309	1105	1534	1035	1244	583	1002	3	1802	767	467	538	384	181	464	376	209	1025	266	616	353	1209	495	496	642	454	192	1228	488
OTU_10	554	345	283	211	396	37	384	834	896	930	862	348	290	406	639	420	0	549	165	362	314	222	843	306	0	384	2	286	173	858	1613	325	303	597	762	1238	326	577	2096	231	214	169	1113	662	380	158	1318	270	633	403	554	1024	320	461	2155	91	358	322	245	183	201	528	1524	1203	271	1121	397	133	383	263	872	1063	403	719	872	453	131	340	341	551	491	400	701	611	138	412	187	519	149	219	443	828	348	586	909	128	492	718	498	711	725	1664	376	729	807	20	594	920	606	816	1673	880	598	633	214	301	318	187	486	374	1258	1105	1894	170	133	463	745	732	208	334	1034	283	184	204	590	392	683	486	244	484	796	430	265	531	103	110	578	415	435	344	125	842	341	697	639	172	926	882	1256	504	1163	1001	1008	691	2677	154	656	156	249	733	114	869	1269	507	1267	177	874	3	1177	654	424	365	428	52	299	418	106	1288	140	330	396	889	224	412	476	270	95	1486	707
OTU_12	3	1	0	8	0	28	0	10	16	0	1	1	0	0	1	1	81	98	2	0	0	0	12	0	79	0	73	2	0	1	0	1	0	2	0	3	0	1	2	0	92	0	1	1	1	0	5	0	1	0	1	1	2	97	3	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	2	3	0	2	0	24	1	1	1	4	545	2	0	2	0	0	1	1	0	0	2	0	0	16	1	0	2	0	3	0	5	4	0	1	4	144	0	2	0	1	1	15	1	8	0	0	3	183	2	6	61	8	0	1	0	3	1	4	17	0	4	42	0	5	0	0	2	4	3	0	0	1	2	0	0	1	2	11	3	0	1	4	2	0	5	2	8	1	2	0	0	3	0	1	0	2	2	0	15	2	9	3	4	54	3	7	0	175	2	2	3	57	0	0	19	1	0	2	0	0	0	1	1	0	2	3	0	12	83
OTU_15	57	51	53	141	100	1733	901	366	236	124	308	91	78	85	289	649	2	202	2868	35	121	40	601	170	1	68	0	3003	701	333	427	82	66	363	176	95	139	260	845	388	844	669	492	105	164	205	556	507	231	1174	64	149	70	82	626	2355	50	125	49	516	98	705	177	121	570	426	118	1016	46	383	117	39	938	230	83	106	538	1480	145	191	323	151	150	285	2000	3305	864	284	1215	195	462	77	653	227	242	565	253	338	189	258	240	105	64	235	599	3	69	309	244	319	327	284	475	147	4634	205	1095	179	78	167	98	604	194	256	951	207	209	165	678	104	75	2592	182	43	76	1292	333	278	83	183	235	153	118	16	129	903	243	188	110	136	529	117	116	196	205	165	1154	127	199	574	120	522	154	139	140	708	688	7582	53	993	2312	326	444	585	218	158	530	1	239	192	166	84	93	62	174	564	1189	71	962	149	56	199	2741	76	101	874	319	60	55
OTU_16	1	5	1	280	1	4	392	788	14	0	38	4	26	16	82	469	0	71	7	0	4	0	10	0	4	0	14	2	1	1580	13	4	0	1	1	0	0	20	1	11	61	919	1	3	5	20	171	1189	0	1	2169	0	4	322	0	0	29	1	0	0	1	1	0	0	2	20	69	3	50	98	2	0	2	5	0	13	33	2	1	702	510	232	1	3	246	3	46	8	5	167	266	0	236	121	1	0	242	69	2	5	17	0	3	3	73	39	0	8	3	1	2	0	1025	2	16	107	196	2404	6	91	0	0	1	1952	10	7	4	1548	21	50	0	0	3	23	2	6	16	795	57	4	2415	443	4178	1	3597	0	1	16	19	22	8	3	0	2	0	29	3	2	16	1	0	318	2	32	1	1	566	11	17	45	0	1559	59	74	1	26	1047	13	196	16	7	98	73	7	8	1	132	0	22	451	0	6	3	22	4	4	472	1	0
OTU_17	117	43	54	86	53	45	246	138	338	2300	345	99	63	50	171	247	0	112	19	43	18	45	619	98	0	22	0	83	43	232	87	125	37	184	92	584	71	135	466	50	30	71	1961	105	234	84	502	25	378	58	169	1376	130	89	5736	9	62	64	50	50	13	262	433	725	53	173	86	29	58	63	136	206	66	123	802	54	43	80	108	232	343	87	217	161	100	31	63	272	70	63	116	178	16	403	102	26	147	372	157	169	130	629	35	134	507	0	111	207	194	297	1929	2581	481	103	96	67	138	98	216	306	258	696	2513	15	30	124	150	293	57	87	787	40	55	21	65	216	2523	260	11	32	152	156	71	64	22	8	300	31	39	33	21	124	78	103	98	38	236	170	458	299	170	244	134	99	859	72	290	39	22	266	14	288	384	222	276	32	169	0	142	270	116	65	54	109	85	154	7	647	21	188	306	98	40	49	69	26	83	531	269
