domain	otu.id	isolate.match	reads.my.data	pct.my.data	genus.rdp	genus.silva	potu.match	potu.genus	blast.potu.2019	match.2019	genus.rdp.2019	consensus.match	hub.match.tequilana.2020	hub.match.salmiana.2021	
Bacteria	OTU_13	Arthrobacter_sp_AT1_4	36986	1.491437722	g:Paeniglutamicibacter	g:Arthrobacter	potu26	g:Micrococcaceae	potu214	OTU_523	NA	OTU_523			
Bacteria	OTU_31	Bacillus_niacini_AT2_8	16239	0.654827696	NA	g:Bacillus	potu29	g:Paenisporosarcina	potu7	OTU_14	g:Bacillus	OTU_31	potu19		
Bacteria	OTU_29	Belnapia_rosea_MJ22	17477	0.704749285	g:Belnapia	NA	"potu2969;potu3649;potu4753"	"g:Roseomonas;g:Roseomonas;g:Roseomonas"	potu2969	OTU_29	g:Belnapia	OTU_29	potu543	"potu351;potu773"	
Bacteria	OTU_31	Bhargavaea_ginsengi_C13	16239	0.654827696	NA	g:Bacillus	potu29	g:Paenisporosarcina	potu29	OTU_31	NA	OTU_31			
Bacteria	OTU_2314	Cellulomonas_cellasea_RAS26	804	0.032420806	g:Cellulomonas	g:Cellulomonas	NA	NA	potu108	OTU_26	g:Cellulomonas	OTU_26		potu108	
Bacteria	OTU_6	Curtobacterium_oceanosedimentum_AS1_15	81398	3.28232433	g:Curtobacterium	NA	"potu2692;potu4991;potu97"	"g:Curtobacterium;NA;g:Yonghaparkia"	potu2692	OTU_6	g:Curtobacterium	OTU_6			
Bacteria	OTU_3	Erwinia_gerundensis_AT3_11	131798	5.314673358	g:Pantoea	g:Pantoea	potu243	g:Pantoea	potu243	OTU_3	g:Pantoea	OTU_3			
Bacteria	OTU_417	Frigoribacterium_endophyticum_AS3_20	3821	0.154079477	NA	g:Frigoribacterium	potu651	g:Frigoribacterium	potu651	OTU_417	g:Frigoribacterium	OTU_417		potu651	
Bacteria	OTU_33	Kineococcus_radiotolerans_AS2_23	16625	0.670392909	g:Kineococcus	g:Kineococcus	potu434	g:Kineococcus	potu434	OTU_33	g:Kineococcus	OTU_33	potu434		
Bacteria	OTU_1156	Kytococcus_sedentarius_RAS25	NA	NA	g:Kytococcus	g:Kytococcus	NA	NA	NA	NA	NA	OTU_1156	NA	NA	NA
